datum	rr_dahlem	rr_hohenpeissenberg
156481	2020-01-01 00:00	0	0
156482	2020-01-01 01:00	0	0
156483	2020-01-01 02:00	0	0
156484	2020-01-01 03:00	0	0
156485	2020-01-01 04:00	0	0
156486	2020-01-01 05:00	0	0
156487	2020-01-01 06:00	0	0
156488	2020-01-01 07:00	0	0
156489	2020-01-01 08:00	0	0
156490	2020-01-01 09:00	0	0
156491	2020-01-01 10:00	0	0
156492	2020-01-01 11:00	0	0
156493	2020-01-01 12:00	0	0
156494	2020-01-01 13:00	0	0
156495	2020-01-01 14:00	0	0
156496	2020-01-01 15:00	0	0
156497	2020-01-01 16:00	0	0
156498	2020-01-01 17:00	0	0
156499	2020-01-01 18:00	0	0
156500	2020-01-01 19:00	0	0
156501	2020-01-01 20:00	0	0
156502	2020-01-01 21:00	0	0
156503	2020-01-01 22:00	0	0
156504	2020-01-01 23:00	0	0
156505	2020-01-02 00:00	0	0
156506	2020-01-02 01:00	0	0
156507	2020-01-02 02:00	0	0
156508	2020-01-02 03:00	0	0
156509	2020-01-02 04:00	0	0
156510	2020-01-02 05:00	0	0
156511	2020-01-02 06:00	0	0
156512	2020-01-02 07:00	0	0
156513	2020-01-02 08:00	0	0
156514	2020-01-02 09:00	0	0
156515	2020-01-02 10:00	0	0
156516	2020-01-02 11:00	0	0
156517	2020-01-02 12:00	0	0
156518	2020-01-02 13:00	0	0
156519	2020-01-02 14:00	0	0
156520	2020-01-02 15:00	0	0
156521	2020-01-02 16:00	0	0
156522	2020-01-02 17:00	0	0
156523	2020-01-02 18:00	0	0
156524	2020-01-02 19:00	0	0
156525	2020-01-02 20:00	0	0
156526	2020-01-02 21:00	0	0
156527	2020-01-02 22:00	0	0
156528	2020-01-02 23:00	0	0
156529	2020-01-03 00:00	0	0
156530	2020-01-03 01:00	0	0
156531	2020-01-03 02:00	0	0
156532	2020-01-03 03:00	0	0
156533	2020-01-03 04:00	0	0
156534	2020-01-03 05:00	0	0
156535	2020-01-03 06:00	0	0
156536	2020-01-03 07:00	0	0
156537	2020-01-03 08:00	0	0
156538	2020-01-03 09:00	0	0
156539	2020-01-03 10:00	0	0
156540	2020-01-03 11:00	0	0
156541	2020-01-03 12:00	0	0
156542	2020-01-03 13:00	0	0
156543	2020-01-03 14:00	0	0
156544	2020-01-03 15:00	0	0
156545	2020-01-03 16:00	0.4	0
156546	2020-01-03 17:00	0	0
156547	2020-01-03 18:00	0.4	0.1
156548	2020-01-03 19:00	0.7	0.1
156549	2020-01-03 20:00	0.5	0
156550	2020-01-03 21:00	1	0
156551	2020-01-03 22:00	0.9	0
156552	2020-01-03 23:00	0.5	0
156553	2020-01-04 00:00	0	0.2
156554	2020-01-04 01:00	0	0.2
156555	2020-01-04 02:00	0	0.1
156556	2020-01-04 03:00	0	0.1
156557	2020-01-04 04:00	0	0.1
156558	2020-01-04 05:00	0	0.3
156559	2020-01-04 06:00	0	0.1
156560	2020-01-04 07:00	0	0.2
156561	2020-01-04 08:00	0	1.1
156562	2020-01-04 09:00	0	0.2
156563	2020-01-04 10:00	0	0.4
156564	2020-01-04 11:00	0.3	0.2
156565	2020-01-04 12:00	0.5	0
156566	2020-01-04 13:00	0.1	0.2
156567	2020-01-04 14:00	2.1	0
156568	2020-01-04 15:00	0	0
156569	2020-01-04 16:00	0	0
156570	2020-01-04 17:00	0	0
156571	2020-01-04 18:00	0	0
156572	2020-01-04 19:00	0	0
156573	2020-01-04 20:00	0	0
156574	2020-01-04 21:00	0	0
156575	2020-01-04 22:00	0	0
156576	2020-01-04 23:00	0	0
156577	2020-01-05 00:00	0	0.1
156578	2020-01-05 01:00	0	0.2
156579	2020-01-05 02:00	0	0
156580	2020-01-05 03:00	0	0
156581	2020-01-05 04:00	0	0
156582	2020-01-05 05:00	0	0
156583	2020-01-05 06:00	0	0
156584	2020-01-05 07:00	0	0
156585	2020-01-05 08:00	0	0
156586	2020-01-05 09:00	0	0
156587	2020-01-05 10:00	0	0
156588	2020-01-05 11:00	0	0
156589	2020-01-05 12:00	0	0
156590	2020-01-05 13:00	0	0
156591	2020-01-05 14:00	0	0
156592	2020-01-05 15:00	0	0
156593	2020-01-05 16:00	0	0
156594	2020-01-05 17:00	0	0
156595	2020-01-05 18:00	0	0
156596	2020-01-05 19:00	0	0
156597	2020-01-05 20:00	0	0
156598	2020-01-05 21:00	0	0
156599	2020-01-05 22:00	0	0
156600	2020-01-05 23:00	0	0
156601	2020-01-06 00:00	0	0
156602	2020-01-06 01:00	0	0
156603	2020-01-06 02:00	0	0
156604	2020-01-06 03:00	0	0
156605	2020-01-06 04:00	0	0
156606	2020-01-06 05:00	0	0
156607	2020-01-06 06:00	0	0
156608	2020-01-06 07:00	0	0
156609	2020-01-06 08:00	0	0
156610	2020-01-06 09:00	0	0
156611	2020-01-06 10:00	0	0
156612	2020-01-06 11:00	0	0
156613	2020-01-06 12:00	0	0
156614	2020-01-06 13:00	0	0
156615	2020-01-06 14:00	0	0
156616	2020-01-06 15:00	0	0
156617	2020-01-06 16:00	0	0
156618	2020-01-06 17:00	0	0
156619	2020-01-06 18:00	0	0
156620	2020-01-06 19:00	0	0
156621	2020-01-06 20:00	0	0
156622	2020-01-06 21:00	0	0
156623	2020-01-06 22:00	0	0
156624	2020-01-06 23:00	0	0
156625	2020-01-07 00:00	0	0
156626	2020-01-07 01:00	0	0
156627	2020-01-07 02:00	0	0
156628	2020-01-07 03:00	0	0
156629	2020-01-07 04:00	0	0
156630	2020-01-07 05:00	0	0
156631	2020-01-07 06:00	0	0
156632	2020-01-07 07:00	0	0
156633	2020-01-07 08:00	0	0
156634	2020-01-07 09:00	0	0.2
156635	2020-01-07 10:00	0	0
156636	2020-01-07 11:00	0	0
156637	2020-01-07 12:00	0.1	0
156638	2020-01-07 13:00	0	0
156639	2020-01-07 14:00	0	0
156640	2020-01-07 15:00	0	0
156641	2020-01-07 16:00	0	0
156642	2020-01-07 17:00	0	0
156643	2020-01-07 18:00	0	0
156644	2020-01-07 19:00	0	0
156645	2020-01-07 20:00	0	0
156646	2020-01-07 21:00	0	0
156647	2020-01-07 22:00	0	0
156648	2020-01-07 23:00	0	0
156649	2020-01-08 00:00	0	0
156650	2020-01-08 01:00	0	0
156651	2020-01-08 02:00	0	0
156652	2020-01-08 03:00	0	0
156653	2020-01-08 04:00	0	0
156654	2020-01-08 05:00	0.1	0
156655	2020-01-08 06:00	0	0
156656	2020-01-08 07:00	0	0
156657	2020-01-08 08:00	0.1	0
156658	2020-01-08 09:00	0.1	0
156659	2020-01-08 10:00	0	0
156660	2020-01-08 11:00	0	0
156661	2020-01-08 12:00	0	0
156662	2020-01-08 13:00	0	0
156663	2020-01-08 14:00	0	0
156664	2020-01-08 15:00	0	0
156665	2020-01-08 16:00	0	0
156666	2020-01-08 17:00	0	0
156667	2020-01-08 18:00	0	0
156668	2020-01-08 19:00	0	0
156669	2020-01-08 20:00	0	0
156670	2020-01-08 21:00	0	0
156671	2020-01-08 22:00	0	0
156672	2020-01-08 23:00	0	0
156673	2020-01-09 00:00	0	0
156674	2020-01-09 01:00	0.2	0
156675	2020-01-09 02:00	0.4	0
156676	2020-01-09 03:00	0.6	0
156677	2020-01-09 04:00	0.3	0
156678	2020-01-09 05:00	0.2	0
156679	2020-01-09 06:00	0	0
156680	2020-01-09 07:00	0	0
156681	2020-01-09 08:00	0	0
156682	2020-01-09 09:00	0	0
156683	2020-01-09 10:00	0	0
156684	2020-01-09 11:00	0	0
156685	2020-01-09 12:00	0	0
156686	2020-01-09 13:00	0.3	0
156687	2020-01-09 14:00	0.5	0
156688	2020-01-09 15:00	0.8	0
156689	2020-01-09 16:00	0.6	0
156690	2020-01-09 17:00	0.2	0
156691	2020-01-09 18:00	0	0
156692	2020-01-09 19:00	0	0
156693	2020-01-09 20:00	0.3	0
156694	2020-01-09 21:00	0.1	0
156695	2020-01-09 22:00	0	0
156696	2020-01-09 23:00	0	0
156697	2020-01-10 00:00	0	0
156698	2020-01-10 01:00	0.2	0
156699	2020-01-10 02:00	0.5	0
156700	2020-01-10 03:00	0.3	0
156701	2020-01-10 04:00	0.3	0
156702	2020-01-10 05:00	0.2	0
156703	2020-01-10 06:00	1	0
156704	2020-01-10 07:00	0.6	0
156705	2020-01-10 08:00	0.5	0
156706	2020-01-10 09:00	0.1	0
156707	2020-01-10 10:00	0	0
156708	2020-01-10 11:00	0	0
156709	2020-01-10 12:00	0	0
156710	2020-01-10 13:00	0	0
156711	2020-01-10 14:00	0	0
156712	2020-01-10 15:00	0	0
156713	2020-01-10 16:00	0	0
156714	2020-01-10 17:00	0.4	0
156715	2020-01-10 18:00	0	0
156716	2020-01-10 19:00	0	0
156717	2020-01-10 20:00	0	0
156718	2020-01-10 21:00	0	0
156719	2020-01-10 22:00	0	0.3
156720	2020-01-10 23:00	0	0.1
156721	2020-01-11 00:00	0	0.1
156722	2020-01-11 01:00	0.1	0.3
156723	2020-01-11 02:00	0	0
156724	2020-01-11 03:00	0	0
156725	2020-01-11 04:00	0	0
156726	2020-01-11 05:00	0	0
156727	2020-01-11 06:00	0	0
156728	2020-01-11 07:00	0	0
156729	2020-01-11 08:00	0	0.1
156730	2020-01-11 09:00	0	0
156731	2020-01-11 10:00	0	0
156732	2020-01-11 11:00	0	0
156733	2020-01-11 12:00	0	0
156734	2020-01-11 13:00	0	0
156735	2020-01-11 14:00	0	0
